insured_address_state,Industry Code,Category,input_gl_revenue,input_gl_employee,input_gl_gl_limit,input_gl_gl_deductible,input_property_bldg_limit,input_property_num_claims,input_property_town_grade,input_property_content_limit,input_property_bldg_deductible,input_property_cont_deductible,input_property_construction_class,output_premium_crime_prem,output_premium_eq_premium,output_premium_ebi_premium,output_premium_bldg_premium,output_premium_flood_premium,output_premium_content_premium,output_premium_on_prem_gl_prem,output_premium_products_gl_prem,output_premium_business_interuption_prem,output_premium_total_total_prem,output_debug_sd_factor_bi,output_debug_sd_factor_gl,output_debug_sd_factor_prop,vlookup for column P
Ontario,5811,Hospitality,"$250,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$72.00,$0.64,$79.00,$0.00,$0.00,$53.19,"$1,446.82",$0.00,$161.66,"$1,813.32",0.9725625,0.89864775,0.8,$0.64
Ontario,5811,Hospitality,"$250,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$86.40,$0.64,$79.00,$0.00,$0.00,$76.59,"$1,569.75",$0.00,$194.48,"$2,006.87",0.975,0.975,0.96,$0.64
Ontario,5811,Hospitality,"$109,000.00",2,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$119.94,$0.89,$79.00,$0.00,$0.00,$106.32,$826.14,$0.00,$117.70,"$1,250.00",0.975,0.975,0.96,$0.89
Ontario,5814,Hospitality,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$50,000.00","$1,000.00","$1,000.00",4,$205.61,$17.27,$84.00,$0.00,$0.00,$220.94,$576.34,$0.00,$145.85,"$1,250.00",0.975,0.975,0.96,$17.27
Ontario,5811,Hospitality,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$250,000.00","$1,000.00","$1,000.00",4,$86.40,$6.43,$210.00,$0.00,$0.00,$524.62,"$1,255.80",$0.00,$106.56,"$2,189.81",0.975,0.975,0.96,$6.43
Ontario,5813,Hospitality,"$250,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$86.40,$0.64,$79.00,$0.00,$0.00,$50.29,"$1,121.25",$0.00,$127.69,"$1,465.26",0.975,0.975,0.96,$0.64
Ontario,5811,Hospitality,"$250,000.00",1,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$24.00,$1.66,$79.00,$0.00,$0.00,$76.59,"$1,365.00",$0.00,$194.48,"$1,740.73",0.975,0.975,0.96,$1.66
Ontario,5814,Hospitality,"$550,000.00",11,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$312.00,$0.33,$79.00,$0.00,$2.56,$38.68,"$1,332.05",$0.00,$280.91,"$2,045.54",0.975,0.975,0.96,$0.33
Ontario,5814,Hospitality,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$231.55,$1.72,$79.00,$0.00,$0.00,$124.41,$649.06,$0.00,$164.26,"$1,250.00",0.975,0.975,0.96,$1.72
Ontario,5814,Hospitality,"$200,000.00",1,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$47.90,$1.27,$79.00,$0.00,$0.00,$77.21,$840.72,$0.00,$203.89,"$1,250.00",0.975,0.975,0.96,$1.27
